                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    151,                 1.0525,                 1.1104,                 1.5063,                0.79004,                0.71938,                0.79354,                 0.4377,                  1.817,                 1.1496,                 2.5588,              0.0010046,              0.0010046,              0.0010046
                    152,                 1.0161,                 1.1159,                 1.4874,                0.66936,                0.70666,                0.73651,                0.38465,                 1.9701,                 1.1422,                    2.7,              0.0010018,              0.0010018,              0.0010018
                    153,                 1.0305,                 1.0929,                  1.496,                0.60415,                0.64462,                0.66365,                0.36293,                 1.7759,                 1.2596,                  2.498,             0.00099893,             0.00099893,             0.00099893
                    154,                 1.0092,                 1.1227,                 1.4855,                0.74918,                0.70839,                0.75295,                 0.4035,                 1.7896,                 1.1321,                 2.5804,              0.0009961,              0.0009961,              0.0009961
                    155,                 1.0145,                 1.1033,                 1.5007,                 0.8442,                0.57771,                0.73033,                0.41376,                 1.8798,                 1.2331,                 2.6882,             0.00099327,             0.00099327,             0.00099327
                    156,                0.96599,                 1.0731,                 1.4661,                0.74591,                0.63069,                0.70669,                0.37119,                 1.9426,                 1.3884,                 2.6475,             0.00099044,             0.00099044,             0.00099044
                    157,                 1.0139,                 1.0849,                 1.4836,                0.69198,                0.74514,                0.74083,                0.41082,                 1.7507,                 1.1561,                 2.4169,             0.00098761,             0.00098761,             0.00098761
                    158,                 1.0215,                 1.1193,                 1.4902,                0.73318,                0.71299,                0.75032,                0.37345,                 1.8773,                 1.1621,                 2.7205,             0.00098478,             0.00098478,             0.00098478
                    159,                 1.0249,                 1.1108,                 1.4904,                 0.6772,                0.71254,                0.73263,                0.38755,                 1.9551,                  1.166,                 2.7436,             0.00098195,             0.00098195,             0.00098195
                    160,                 1.0135,                 1.0925,                 1.4886,                0.60449,                0.71593,                 0.6915,                0.38939,                 1.8206,                  1.248,                 2.6778,             0.00097912,             0.00097912,             0.00097912
                    161,                 1.0224,                 1.0461,                 1.4827,                0.72806,                0.68185,                0.72355,                0.38591,                 1.9152,                 1.1048,                 2.7914,             0.00097629,             0.00097629,             0.00097629
                    162,                 1.0091,                 1.0836,                 1.4735,                 0.7131,                0.74623,                 0.7484,                0.38284,                 1.9049,                 1.1128,                   2.76,             0.00097346,             0.00097346,             0.00097346
                    163,                 1.0091,                 1.0905,                 1.4798,                0.75492,                 0.7802,                0.76507,                0.41027,                 1.8276,                 1.0172,                  2.621,             0.00097063,             0.00097063,             0.00097063
                    164,                0.97566,                 1.0369,                 1.4528,                0.62392,                0.75292,                0.75248,                0.38192,                 1.8716,                 1.1274,                 2.6927,              0.0009678,              0.0009678,              0.0009678
                    165,                0.98366,                 1.0343,                   1.45,                0.85812,                0.64289,                0.75642,                  0.393,                 1.8404,                 1.1979,                 2.6839,             0.00096498,             0.00096498,             0.00096498
                    166,                 1.0115,                 1.0511,                 1.4908,                0.59189,                0.69675,                0.66729,                0.37292,                 1.8625,                 1.1668,                 2.7473,             0.00096215,             0.00096215,             0.00096215
                    167,                0.97105,                 1.0506,                 1.4327,                0.68441,                0.74204,                 0.7103,                  0.374,                 1.8075,                 1.1427,                 2.6489,             0.00095932,             0.00095932,             0.00095932
                    168,                0.99707,                 1.0364,                 1.4694,                 0.5643,                0.73256,                0.66863,                0.33879,                 1.8968,                  1.165,                 2.7955,             0.00095649,             0.00095649,             0.00095649
                    169,                 1.0302,                 1.1009,                 1.4918,                0.67762,                0.74313,                0.73907,                0.39084,                 1.8189,                 1.1689,                 2.6681,             0.00095366,             0.00095366,             0.00095366
                    170,                0.97743,                  1.039,                 1.4571,                0.73083,                0.77584,                0.78172,                0.39699,                 1.8746,                 1.1534,                 2.7934,             0.00095083,             0.00095083,             0.00095083
                    171,                0.93692,                 1.0063,                 1.4284,                 0.6477,                0.75497,                0.68882,                0.39579,                 1.8945,                 1.2767,                 2.7481,               0.000948,               0.000948,               0.000948
                    172,                0.98034,                 1.0588,                 1.4639,                0.69601,                0.69223,                0.74835,                0.41425,                  1.853,                 1.1672,                 2.7134,             0.00094517,             0.00094517,             0.00094517
                    173,                0.98148,                 1.0348,                 1.4514,                0.72186,                0.62858,                0.70612,                0.41803,                 1.7666,                  1.197,                 2.5396,             0.00094234,             0.00094234,             0.00094234
                    174,                0.98397,                0.98895,                 1.4527,                0.69601,                0.70785,                0.70792,                0.38192,                 1.9618,                 1.3045,                 2.6957,             0.00093951,             0.00093951,             0.00093951
                    175,                0.99002,                 1.0517,                 1.4633,                0.70746,                0.80276,                0.75915,                0.38444,                 1.8842,                  1.757,                 2.8358,             0.00093668,             0.00093668,             0.00093668
                    176,                0.97305,                 1.0239,                   1.45,                0.87779,                 0.6529,                0.75714,                0.40248,                 1.9329,                 1.2987,                 2.6342,             0.00093385,             0.00093385,             0.00093385
                    177,                0.94607,                0.96039,                 1.4121,                0.78334,                0.78873,                0.76249,                0.41103,                 1.8308,                 1.0688,                  2.734,             0.00093102,             0.00093102,             0.00093102
                    178,                0.92846,                0.99989,                 1.4264,                0.74794,                0.71384,                0.73368,                0.40159,                 1.9057,                 1.1016,                 2.7229,             0.00092819,             0.00092819,             0.00092819
                    179,                0.95604,                 1.0181,                 1.4413,                 0.8756,                0.69214,                0.78437,                  0.405,                 1.8442,                 1.1126,                 2.6629,             0.00092536,             0.00092536,             0.00092536
                    180,                0.94572,                0.98606,                 1.4336,                0.68298,                0.76473,                0.70627,                0.36174,                 1.8338,                 1.2035,                 2.5837,             0.00092253,             0.00092253,             0.00092253
                    181,                0.93805,                 1.0199,                 1.4574,                0.74554,                0.73393,                0.72125,                0.40276,                 1.7831,                 1.3704,                 2.5052,              0.0009197,              0.0009197,              0.0009197
                    182,                0.94886,                0.99042,                  1.426,                0.69041,                 0.7511,                0.68625,                0.38544,                 1.7591,                 1.3498,                 2.4306,             0.00091687,             0.00091687,             0.00091687
                    183,                0.94151,                 1.0101,                 1.4317,                0.69811,                0.64873,                0.69721,                0.36344,                 1.8379,                 1.1847,                 2.7432,             0.00091405,             0.00091405,             0.00091405
                    184,                0.92236,                0.95121,                 1.4155,                0.76564,                0.73142,                0.74999,                  0.405,                 1.8815,                 1.1289,                 2.7947,             0.00091122,             0.00091122,             0.00091122
                    185,                0.98229,                 1.0045,                 1.4325,                0.78996,                 0.6976,                0.75765,                0.39828,                  1.804,                 1.1738,                 2.5553,             0.00090839,             0.00090839,             0.00090839
                    186,                0.92238,                0.94429,                 1.3954,                0.76126,                0.74932,                0.74577,                0.37866,                 1.8933,                 1.2496,                 2.7328,             0.00090556,             0.00090556,             0.00090556
                    187,                0.93159,                0.95463,                 1.4183,                0.73222,                0.68773,                0.73694,                0.37216,                 1.8288,                 1.1493,                 2.6532,             0.00090273,             0.00090273,             0.00090273
                    188,                0.92894,                0.92595,                 1.4212,                0.72504,                0.62519,                0.69853,                0.37376,                 1.8302,                 1.2095,                 2.7357,              0.0008999,              0.0008999,              0.0008999
                    189,                0.91589,                0.93485,                 1.3971,                0.64752,                0.72595,                0.69917,                0.37816,                 1.8965,                 1.1534,                 2.9228,             0.00089707,             0.00089707,             0.00089707
                    190,                0.93176,                 0.9359,                 1.4055,                0.76315,                0.67416,                0.71388,                0.37675,                 1.9498,                 1.3029,                 2.9566,             0.00089424,             0.00089424,             0.00089424
                    191,                0.92965,                0.94115,                 1.4145,                0.62228,                0.67708,                 0.6503,                 0.3612,                 1.8865,                 1.3927,                 2.6814,             0.00089141,             0.00089141,             0.00089141
                    192,                0.88546,                0.91812,                 1.3832,                0.65942,                0.69565,                0.66105,                0.32452,                  1.975,                 1.2401,                 2.9379,             0.00088858,             0.00088858,             0.00088858
                    193,                0.93211,                0.97951,                 1.3956,                0.61514,                0.72766,                0.70794,                 0.3682,                 1.8962,                  1.118,                 2.8386,             0.00088575,             0.00088575,             0.00088575
                    194,                0.92532,                0.94118,                 1.3901,                0.70962,                0.68729,                0.69064,                0.36847,                 1.8526,                 1.1577,                  2.704,             0.00088292,             0.00088292,             0.00088292
                    195,                0.91064,                0.94282,                 1.3863,                0.63449,                0.75448,                 0.7213,                0.38097,                 1.7979,                 1.2994,                 2.6815,             0.00088009,             0.00088009,             0.00088009
                    196,                0.90246,                0.89844,                 1.3929,                0.83496,                0.61212,                0.70846,                0.36158,                 1.9199,                 1.3837,                 2.9514,             0.00087726,             0.00087726,             0.00087726
                    197,                0.90848,                0.92443,                 1.3928,                0.74623,                 0.6696,                0.71089,                0.38267,                 1.9379,                 1.1426,                 2.8792,             0.00087443,             0.00087443,             0.00087443
                    198,                0.92073,                0.93552,                 1.4001,                0.66847,                 0.7433,                0.69839,                0.38352,                 1.8728,                 1.1174,                 2.7458,              0.0008716,              0.0008716,              0.0008716
                    199,                0.96595,                0.96798,                 1.4279,                0.66981,                0.74337,                0.68919,                0.36743,                 1.9304,                 1.2184,                 2.9201,             0.00086877,             0.00086877,             0.00086877
                    200,                0.90623,                0.92526,                  1.399,                0.64252,                0.74934,                0.69281,                0.34159,                 1.8782,                 1.2888,                 2.7357,             0.00086595,             0.00086595,             0.00086595
                    201,                0.90904,                0.94672,                 1.4094,                0.72413,                0.61434,                0.67028,                0.38647,                 1.8082,                 1.3548,                 2.5525,             0.00086312,             0.00086312,             0.00086312
                    202,                0.88374,                0.90214,                 1.3817,                 0.6321,                0.67514,                0.66164,                0.37703,                 1.8438,                 1.1168,                 2.6828,             0.00086029,             0.00086029,             0.00086029
                    203,                0.88551,                0.91575,                 1.3768,                0.69323,                0.66372,                0.69014,                0.40806,                 1.7476,                 1.2184,                 2.5349,             0.00085746,             0.00085746,             0.00085746
                    204,                0.92728,                0.92841,                 1.4029,                0.70717,                0.69335,                0.67826,                0.38086,                 1.8229,                 1.2253,                 2.6706,             0.00085463,             0.00085463,             0.00085463
                    205,                0.95146,                 0.9534,                 1.4183,                0.72306,                0.70123,                0.70725,                0.38244,                 1.7848,                 1.2461,                 2.5855,              0.0008518,              0.0008518,              0.0008518
                    206,                0.91919,                0.93795,                 1.4005,                0.63103,                0.68794,                0.66382,                0.36996,                 1.8668,                 1.2269,                 2.7598,             0.00084897,             0.00084897,             0.00084897
                    207,                0.89121,                0.90576,                 1.3921,                0.69866,                0.63267,                0.72031,                0.35978,                 1.8761,                 1.2929,                 2.8151,             0.00084614,             0.00084614,             0.00084614
                    208,                0.90339,                0.91549,                 1.3842,                0.77603,                0.64589,                 0.6935,                0.36664,                 1.8005,                  1.201,                 2.5932,             0.00084331,             0.00084331,             0.00084331
                    209,                0.91002,                0.87316,                 1.3846,                0.68481,                0.72927,                0.72898,                 0.3787,                  1.836,                 1.4366,                 2.7738,             0.00084048,             0.00084048,             0.00084048
                    210,                0.88179,                0.89671,                 1.3663,                0.75077,                0.71399,                0.72159,                0.37126,                 1.8153,                 1.1846,                 2.7721,             0.00083765,             0.00083765,             0.00083765
                    211,                0.86945,                0.88621,                 1.3681,                0.68473,                0.65291,                0.68156,                0.39365,                 1.7523,                 1.1918,                 2.6936,             0.00083482,             0.00083482,             0.00083482
                    212,                0.87972,                0.88319,                 1.3677,                0.62382,                0.75136,                0.71941,                0.40088,                 1.8238,                 1.1522,                 2.7784,             0.00083199,             0.00083199,             0.00083199
                    213,                 0.8452,                 0.8678,                  1.337,                0.67213,                0.69484,                0.69673,                0.39521,                 1.8214,                 1.2047,                 2.7391,             0.00082916,             0.00082916,             0.00082916
                    214,                0.87884,                0.87116,                 1.3703,                0.70372,                0.65978,                0.67783,                 0.3757,                 1.8961,                 1.2182,                 2.8356,             0.00082633,             0.00082633,             0.00082633
                    215,                0.87875,                0.86065,                 1.3802,                0.67505,                0.63116,                0.63211,                0.35314,                 1.7337,                 1.2778,                 2.6067,              0.0008235,              0.0008235,              0.0008235
                    216,                0.86951,                0.87901,                 1.3587,                0.65559,                0.72244,                0.68838,                0.38258,                 1.7875,                 1.4526,                 2.7829,             0.00082067,             0.00082067,             0.00082067
                    217,                0.86941,                0.88968,                 1.3651,                0.76903,                0.63433,                0.72497,                0.39073,                 1.8548,                 1.1664,                   2.81,             0.00081785,             0.00081785,             0.00081785
                    218,                0.86804,                0.90076,                 1.3579,                0.72014,                  0.681,                0.70838,                0.38565,                 1.7783,                 1.1618,                 2.8149,             0.00081502,             0.00081502,             0.00081502
                    219,                0.84508,                0.85756,                 1.3419,                0.73131,                0.73513,                0.68402,                 0.3819,                 1.7726,                 1.2431,                  2.736,             0.00081219,             0.00081219,             0.00081219
                    220,                0.86834,                0.88545,                 1.3536,                0.72167,                 0.6724,                0.72375,                0.37922,                 1.7684,                 1.1812,                  2.686,             0.00080936,             0.00080936,             0.00080936
                    221,                0.85141,                 0.8766,                 1.3447,                0.66057,                0.70816,                0.72388,                0.40325,                 1.8647,                 1.2222,                  2.856,             0.00080653,             0.00080653,             0.00080653
                    222,                 0.8395,                 0.8488,                 1.3295,                0.71205,                0.70139,                0.73628,                0.38545,                 1.8834,                 1.2404,                 2.9907,              0.0008037,              0.0008037,              0.0008037
                    223,                0.86905,                0.88209,                 1.3716,                0.67116,                0.72498,                0.70781,                0.37017,                 1.8724,                 1.1854,                 2.7969,             0.00080087,             0.00080087,             0.00080087
                    224,                0.85216,                0.83856,                 1.3455,                0.66015,                0.74852,                0.67044,                0.36119,                 1.8587,                 1.1566,                 2.9031,             0.00079804,             0.00079804,             0.00079804
                    225,                0.87142,                0.85553,                 1.3552,                0.69388,                0.68522,                0.72081,                0.41208,                 1.7544,                 1.2861,                 2.5583,             0.00079521,             0.00079521,             0.00079521
                    226,                0.84338,                0.86545,                 1.3298,                0.78346,                0.66947,                0.76055,                0.42325,                 1.8531,                 1.1206,                 2.7553,             0.00079238,             0.00079238,             0.00079238
                    227,                0.82917,                0.85634,                 1.3266,                 0.8048,                0.68081,                0.76424,                0.42849,                 1.8128,                 1.1609,                 2.8228,             0.00078955,             0.00078955,             0.00078955
                    228,                0.81475,                0.83816,                 1.3325,                0.66704,                0.75138,                0.73875,                0.39726,                 1.8642,                 1.1451,                 2.9284,             0.00078672,             0.00078672,             0.00078672
                    229,                0.86493,                0.85799,                 1.3486,                0.65591,                 0.6966,                0.68688,                0.38237,                   1.77,                 1.1858,                 2.7301,             0.00078389,             0.00078389,             0.00078389
                    230,                0.82466,                0.80402,                 1.3338,                0.76022,                0.64828,                0.67057,                0.36371,                 1.7929,                 1.1663,                 2.7306,             0.00078106,             0.00078106,             0.00078106
                    231,                0.82663,                0.82715,                 1.3284,                0.67437,                 0.7027,                0.63641,                0.36078,                 1.7832,                 1.2674,                 2.7324,             0.00077823,             0.00077823,             0.00077823
                    232,                0.82441,                0.82836,                 1.3236,                0.69806,                0.68035,                0.66224,                0.35613,                  1.789,                 1.2973,                   2.77,              0.0007754,              0.0007754,              0.0007754
                    233,                0.80972,                0.81369,                 1.3144,                0.75707,                0.70472,                0.68898,                0.39024,                 1.7969,                  1.113,                 2.8285,             0.00077257,             0.00077257,             0.00077257
                    234,                0.80318,                0.79407,                  1.306,                0.76133,                0.75568,                0.72753,                0.40033,                 1.8068,                 1.1973,                 2.7476,             0.00076975,             0.00076975,             0.00076975
                    235,                0.80296,                0.80845,                  1.309,                0.71047,                0.69667,                0.68407,                0.37665,                 1.8302,                 1.1869,                  2.908,             0.00076692,             0.00076692,             0.00076692
                    236,                0.85011,                0.81076,                 1.3336,                0.69342,                0.72282,                0.70557,                 0.3973,                 1.8181,                 1.1144,                 2.8635,             0.00076409,             0.00076409,             0.00076409
                    237,                0.81433,                0.82467,                 1.3205,                0.64679,                0.71593,                0.66874,                0.38852,                 1.7212,                 1.1905,                 2.6869,             0.00076126,             0.00076126,             0.00076126
                    238,                0.81849,                 0.8238,                 1.3433,                0.68557,                0.70105,                0.69449,                0.39231,                 1.7786,                 1.2771,                 2.6475,             0.00075843,             0.00075843,             0.00075843
                    239,                0.82777,                0.80804,                 1.3308,                0.69292,                0.71399,                 0.7109,                0.39648,                 1.8256,                 1.0819,                 2.7273,              0.0007556,              0.0007556,              0.0007556
                    240,                0.80544,                0.80508,                 1.3181,                0.69283,                0.71813,                0.71333,                0.41279,                 1.8888,                  1.238,                  2.847,             0.00075277,             0.00075277,             0.00075277
                    241,                0.79931,                0.78927,                 1.3015,                0.69876,                0.66016,                0.67604,                0.36674,                 1.8473,                 1.2842,                 2.8926,             0.00074994,             0.00074994,             0.00074994
                    242,                 0.7979,                0.81204,                 1.3148,                0.72162,                0.70629,                0.70227,                0.39747,                 1.8627,                 1.2638,                 2.8868,             0.00074711,             0.00074711,             0.00074711
                    243,                0.76221,                0.76522,                 1.2825,                0.73421,                0.67967,                0.73033,                0.39514,                 1.7262,                 1.1889,                 2.7102,             0.00074428,             0.00074428,             0.00074428
